Lp;Tytuł / Początek posta;Autor;Data
1;Sztuka NFT – co to jest, jak działa i jak stworzyć własne NFT?;Kacper Majewski;9.11.2025
2;Ile kosztuje stworzenie własnego tokena? Pełny przewodnik dla przedsiębiorców;Kacper Majewski;17.11.2025
3;[video] Jeśli myślisz o tokenizacji, ICO, STO, RWA...;Michał Chódzyński;28.11.2025
4;Twoja firma może pozyskać kapitał szybciej, taniej i nowocześniej – bez banków, bez długich procedur, bez zbędnych barier;Kacper Majewski;3.12.2025
5;Boom ICO w kryptowalutach – nowa fala finansowania w świecie Web3;Kacper Majewski;7.12.2025
6;Czy weto Prezydenta pozbawia konsumenta ochrony na rynku kryptoaktywów?;Michał Chódzyński;8.12.2025
7;MiCA krok po kroku – Kilka dni temu pisaliśmy o tym, że weto Prezydenta nie uchyla obowiązywania MiCA w Polsce;Michał Chódzyński;15.12.2025
8;Tokenizacja nieruchomości w Polsce – kiedy prawo jest Twoją przewagą;Kacper Majewski;19.12.2025
9;Twoja firma może działać jak globalny fintech. Czego uczy nas lekcja od Mastercard?;Kacper Majewski;5.01.2026
10;Tokenizacja aktywów to nie jest temat tylko dla krypto. [ebook TokBase x Tokenuj];Michał Chódzyński;19.05.2026
11;Większość ludzi myli tokenizację z kryptowalutą. To jeden z najdroższych błędów w prywatnym rynku kapitałowym;Michał Chódzyński;20.05.2026
12;Rynek RWA przekroczył $15 miliardów aktywów on-chain w 2025 roku;Michał Chódzyński;21.05.2026
13;CSSF właśnie skończyło z darmowymi notyfikacjami utility tokenów. [1000 EUR za notyfikację Utility Token Whitepaper];Michał Chódzyński;25.05.2026
14;ICO nie umarło. Przyszło w garniturze.;Michał Chódzyński;26.05.2026
15;Smart kontrakt wykonuje się automatycznie. Umowa cywilnoprawna chroni Cię prawnie. Co się dzieje gdy jedno przeczy drugiemu?;Michał Chódzyński;27.05.2026
16;Dwa modele. Miliardy dolarów. Zero pytań do regulatora. [ICO vs IDO];Michał Chódzyński;28.05.2026
17;Każdy projekt tokenizacyjny który trafił na publiczny rynek zaczął w tym samym miejscu. [150 inwestorów per kraj – Private Sale];Michał Chódzyński;1.06.2026
18;W kilku latach pracy widziałem te same błędy w różnych projektach. [6 błędów które niszczą Twój token];Michał Chódzyński;3.06.2026
